DOLocationID,count
132,355285
138,318631
61,301388
79,299729
161,291723
234,270618
48,255687
231,234371
37,233058
246,229067
68,223186
181,218024
230,211448
170,209436
162,205032
148,203546
164,201712
7,199849
107,191552
255,191456
225,188684
237,186984
17,185926
236,183591
249,179972
42,176859
186,173012
76,166436
112,166154
142,166010
36,165571
244,164669
256,164643
141,155974
80,154860
140,154442
239,153489
89,153177
137,152654
144,152418
188,150017
163,149231
238,149151
74,147303
75,146375
263,145712
49,141816
233,140980
90,140702
229,138485
97,137928
100,137298
145,136341
114,134967
41,134815
129,134078
87,133822
113,131703
39,125969
158,125614
82,125441
198,125411
226,123347
211,116726
95,112520
243,112331
25,111295
143,110664
69,109608
166,108464
13,107735
168,105774
223,105169
1,102125
50,101858
14,101717
262,100643
130,100316
33,99334
232,98232
26,97289
92,95337
35,94763
72,92822
116,91874
65,90815
235,90293
247,88401
169,88140
18,87812
91,84963
159,82281
189,81357
4,81129
228,79700
213,79584
62,78712
177,78109
260,77987
151,77737
66,77663
71,74884
125,73461
261,73153
216,72799
127,72384
167,71945
43,71667
241,70418
242,69000
174,68752
119,68559
78,67833
179,67692
254,67230
22,61292
47,60350
220,59889
165,59483
51,59314
197,56574
123,55569
45,55107
155,54960
210,54647
146,54023
152,53623
20,52803
88,52765
136,52169
40,51958
224,51389
85,51115
126,51094
185,51047
63,49089
21,49005
56,48319
208,48092
205,47262
77,46667
258,45515
259,44451
81,44449
149,44060
227,43723
209,43516
147,42806
106,42466
173,41892
32,41491
157,41445
196,40811
182,40006
160,40006
212,39659
133,39241
55,39190
248,39147
102,39062
250,39024
60,38163
10,38105
29,37141
215,37050
16,36159
94,36101
134,35974
83,35874
200,35820
195,35602
121,34722
171,34185
257,33856
24,33633
217,33393
3,32949
206,32644
28,32570
191,32551
67,32178
135,31598
70,31357
52,27985
108,27589
131,26829
150,25883
53,24809
252,24222
203,23812
219,23398
193,23314
218,23202
23,22838
192,22744
180,22716
139,20605
11,19793
178,19657
124,19357
222,18338
73,18122
117,18058
118,17939
183,17612
98,17152
86,16776
34,16518
221,16284
175,16242
9,16166
190,15994
156,15321
122,14342
202,13806
38,13762
15,13185
54,12799
153,12385
240,12227
245,11957
64,11556
214,11504
101,11321
19,10471
93,10452
31,10116
251,10000
115,9701
109,9282
187,8944
201,8653
120,8377
172,8370
6,7400
84,6931
128,5508
44,5428
12,5315
176,4717
58,4496
184,4371
5,4163
96,3543
204,3533
59,3230
46,3190
194,2834
57,2617
154,2282
111,1620
8,862
253,860
27,805
30,729
99,666
207,509
2,47
110,24
105,16
199,6
104,1
